==============================================================
  FULL EXPERIMENT SUMMARY (MERGED) — Fri Apr 10 01:09:51 EDT 2026
  17/18 experiments (excluding fov7_30c8p_r70_discriminative)
==============================================================

────────────────────────────────────────────────────────────────
Experiment: fov10_20c8p_r70_discriminative
────────────────────────────────────────────────────────────────
Mode                       k        | Subrule DSR        | Action DSR         | Trajectory SR     
semantic_lna_random        k2=0     | 0.902387 +/- 0.018943 | 0.879167 +/- 0.025643 | 0.123338 +/- 0.038072
semantic_lna_random        k2=1     | 0.907424 +/- 0.017198 | 0.886333 +/- 0.024002 | 0.124339 +/- 0.037507
semantic_lna_random        k2=2     | 0.913947 +/- 0.016700 | 0.894333 +/- 0.026279 | 0.134262 +/- 0.038595
semantic_lna_random        k2=3     | 0.915572 +/- 0.016867 | 0.896167 +/- 0.026350 | 0.137749 +/- 0.060408
semantic_lna_random        k2=4     | 0.918516 +/- 0.015990 | 0.899667 +/- 0.025320 | 0.136748 +/- 0.061091
semantic_lna_random        k2=5     | 0.921412 +/- 0.016261 | 0.904000 +/- 0.025105 | 0.167761 +/- 0.073077
semantic_lna_single        k2=0     | 0.895628 +/- 0.017348 | 0.873833 +/- 0.020324 | 0.123597 +/- 0.048481
semantic_lna_single        k2=1     | 0.911377 +/- 0.015776 | 0.898500 +/- 0.022489 | 0.185657 +/- 0.082086
semantic_lna_single        k2=2     | 0.912499 +/- 0.016258 | 0.898500 +/- 0.022489 | 0.185657 +/- 0.082086
semantic_lna_single        k2=3     | 0.912557 +/- 0.016192 | 0.898500 +/- 0.022489 | 0.185657 +/- 0.082086
semantic_lna_single        k2=4     | 0.912557 +/- 0.016192 | 0.898500 +/- 0.022489 | 0.185657 +/- 0.082086
semantic_lna_single        k2=5     | 0.912557 +/- 0.016192 | 0.898500 +/- 0.022489 | 0.185657 +/- 0.082086
semantic_lna_random_single k2=0     | 0.895628 +/- 0.017348 | 0.873833 +/- 0.020324 | 0.123597 +/- 0.048481
semantic_lna_random_single k2=1     | 0.899226 +/- 0.016525 | 0.878833 +/- 0.020410 | 0.161818 +/- 0.066553
semantic_lna_random_single k2=2     | 0.902298 +/- 0.016250 | 0.884500 +/- 0.021077 | 0.145459 +/- 0.064289
semantic_lna_random_single k2=3     | 0.904997 +/- 0.015383 | 0.889333 +/- 0.020618 | 0.164795 +/- 0.065206
semantic_lna_random_single k2=4     | 0.906926 +/- 0.015003 | 0.891167 +/- 0.020817 | 0.168398 +/- 0.067487
semantic_lna_random_single k2=5     | 0.908343 +/- 0.014395 | 0.892833 +/- 0.020386 | 0.168398 +/- 0.067487

────────────────────────────────────────────────────────────────
Experiment: fov10_20c8p_r70_spatial
────────────────────────────────────────────────────────────────
Mode                       k        | Subrule DSR        | Action DSR         | Trajectory SR     
------------------------------------|--------------------|--------------------|-------------------
semantic                   0        | 0.907300 +/- 0.016107 | 0.970476 +/- 0.010110 | 0.000000 +/- 0.000000
semantic                   1        | 0.968782 +/- 0.004214 | 0.997500 +/- 0.001071 | 0.000000 +/- 0.000000
semantic                   2        | 0.987787 +/- 0.003964 | 0.999881 +/- 0.000206 | 0.000000 +/- 0.000000
semantic                   3        | 0.995519 +/- 0.002463 | 1.000000 +/- 0.000000 | 0.000000 +/- 0.000000
semantic                   4        | 0.999751 +/- 0.000260 | 1.000000 +/- 0.000000 | 0.000000 +/- 0.000000
semantic                   5        | 0.999971 +/- 0.000050 | 1.000000 +/- 0.000000 | 0.000000 +/- 0.000000
semantic_random            0        | 0.907300 +/- 0.016107 | 0.970476 +/- 0.010110 | 0.000000 +/- 0.000000
semantic_random            1        | 0.916910 +/- 0.012640 | 0.975000 +/- 0.009265 | 0.000000 +/- 0.000000
semantic_random            2        | 0.926035 +/- 0.010963 | 0.978452 +/- 0.006291 | 0.000000 +/- 0.000000
semantic_random            3        | 0.933795 +/- 0.010226 | 0.983571 +/- 0.005901 | 0.000000 +/- 0.000000
semantic_random            4        | 0.941518 +/- 0.006377 | 0.986191 +/- 0.002995 | 0.000000 +/- 0.000000
semantic_random            5        | 0.949410 +/- 0.005538 | 0.989167 +/- 0.001797 | 0.000000 +/- 0.000000
semantic_lna               k2=0     | 0.925798 +/- 0.009340 | 0.970000 +/- 0.009097 | 0.000000 +/- 0.000000
semantic_lna               k2=1     | 0.965710 +/- 0.009131 | 0.985000 +/- 0.002646 | 0.000000 +/- 0.000000
semantic_lna               k2=2     | 0.978842 +/- 0.005563 | 0.985833 +/- 0.001893 | 0.000000 +/- 0.000000
semantic_lna               k2=3     | 0.981215 +/- 0.005794 | 0.986000 +/- 0.001732 | 0.000000 +/- 0.000000
semantic_lna               k2=4     | 0.981395 +/- 0.005933 | 0.986000 +/- 0.001732 | 0.000000 +/- 0.000000
semantic_lna               k2=5     | 0.981415 +/- 0.005950 | 0.986000 +/- 0.001732 | 0.000000 +/- 0.000000
semantic_lna_random        k2=0     | 0.925798 +/- 0.009340 | 0.970000 +/- 0.009097 | 0.000000 +/- 0.000000
semantic_lna_random        k2=1     | 0.936262 +/- 0.006513 | 0.974333 +/- 0.008251 | 0.000000 +/- 0.000000
semantic_lna_random        k2=2     | 0.942954 +/- 0.005587 | 0.975833 +/- 0.006252 | 0.000000 +/- 0.000000
semantic_lna_random        k2=3     | 0.949136 +/- 0.005158 | 0.977500 +/- 0.005074 | 0.000000 +/- 0.000000
semantic_lna_random        k2=4     | 0.955198 +/- 0.005448 | 0.980500 +/- 0.004093 | 0.000000 +/- 0.000000
semantic_lna_random        k2=5     | 0.961289 +/- 0.004352 | 0.981333 +/- 0.003512 | 0.000000 +/- 0.000000
semantic_lna_single        k2=0     | 0.927840 +/- 0.006855 | 0.970167 +/- 0.009385 | 0.000000 +/- 0.000000
semantic_lna_single        k2=1     | 0.966655 +/- 0.008145 | 0.983667 +/- 0.003884 | 0.000000 +/- 0.000000
semantic_lna_single        k2=2     | 0.982551 +/- 0.007816 | 0.983833 +/- 0.003819 | 0.000000 +/- 0.000000
semantic_lna_single        k2=3     | 0.985524 +/- 0.009187 | 0.984000 +/- 0.003606 | 0.000000 +/- 0.000000
semantic_lna_single        k2=4     | 0.985718 +/- 0.009173 | 0.984000 +/- 0.003606 | 0.000000 +/- 0.000000
semantic_lna_single        k2=5     | 0.985738 +/- 0.009170 | 0.984000 +/- 0.003606 | 0.000000 +/- 0.000000
semantic_lna_random_single k2=0     | 0.927840 +/- 0.006855 | 0.970167 +/- 0.009385 | 0.000000 +/- 0.000000
semantic_lna_random_single k2=1     | 0.940810 +/- 0.003383 | 0.974833 +/- 0.007024 | 0.000000 +/- 0.000000
semantic_lna_random_single k2=2     | 0.950189 +/- 0.001711 | 0.978667 +/- 0.004537 | 0.000000 +/- 0.000000
semantic_lna_random_single k2=3     | 0.958398 +/- 0.002791 | 0.980500 +/- 0.005000 | 0.000000 +/- 0.000000
semantic_lna_random_single k2=4     | 0.963678 +/- 0.005540 | 0.980667 +/- 0.005508 | 0.000000 +/- 0.000000
semantic_lna_random_single k2=5     | 0.969766 +/- 0.005553 | 0.982500 +/- 0.004500 | 0.000000 +/- 0.000000

────────────────────────────────────────────────────────────────
Experiment: fov5_20c8p_r70_discriminative
────────────────────────────────────────────────────────────────
Mode                       k        | Subrule DSR        | Action DSR         | Trajectory SR     
------------------------------------|--------------------|--------------------|-------------------
semantic                   0        | 0.906645 +/- 0.024966 | 0.904643 +/- 0.028809 | 0.024594 +/- 0.022294
semantic                   1        | 0.958048 +/- 0.017363 | 0.980357 +/- 0.009923 | 0.148358 +/- 0.013169
semantic                   2        | 0.977698 +/- 0.010057 | 0.992976 +/- 0.006022 | 0.462704 +/- 0.174347
semantic                   3        | 0.989930 +/- 0.007528 | 0.997976 +/- 0.000412 | 0.695202 +/- 0.060872
semantic                   4        | 0.996127 +/- 0.003955 | 0.999643 +/- 0.000357 | 0.920635 +/- 0.083616
semantic                   5        | 0.999189 +/- 0.000822 | 1.000000 +/- 0.000000 | 1.000000 +/- 0.000000
semantic_random            0        | 0.906645 +/- 0.024966 | 0.904643 +/- 0.028809 | 0.024594 +/- 0.022294
semantic_random            1        | 0.917778 +/- 0.023346 | 0.920953 +/- 0.022726 | 0.035326 +/- 0.032038
semantic_random            2        | 0.927217 +/- 0.021489 | 0.932143 +/- 0.019309 | 0.024594 +/- 0.022294
semantic_random            3        | 0.933713 +/- 0.019966 | 0.940833 +/- 0.018272 | 0.025974 +/- 0.024103
semantic_random            4        | 0.940828 +/- 0.019881 | 0.950000 +/- 0.016440 | 0.038389 +/- 0.007103
semantic_random            5        | 0.948044 +/- 0.016023 | 0.962143 +/- 0.011456 | 0.105578 +/- 0.029778
semantic_lna               k2=0     | 0.922927 +/- 0.032934 | 0.888167 +/- 0.023094 | 0.027497 +/- 0.024182
semantic_lna               k2=1     | 0.953871 +/- 0.015891 | 0.923667 +/- 0.020275 | 0.048814 +/- 0.009469
semantic_lna               k2=2     | 0.970558 +/- 0.004219 | 0.928000 +/- 0.019577 | 0.049370 +/- 0.008711
semantic_lna               k2=3     | 0.976861 +/- 0.001572 | 0.934167 +/- 0.015495 | 0.066155 +/- 0.015673
semantic_lna               k2=4     | 0.980570 +/- 0.001709 | 0.934667 +/- 0.015495 | 0.068338 +/- 0.016494
semantic_lna               k2=5     | 0.981921 +/- 0.002814 | 0.935000 +/- 0.016039 | 0.069727 +/- 0.015923
semantic_lna_random        k2=0     | 0.922927 +/- 0.032934 | 0.888167 +/- 0.023094 | 0.027497 +/- 0.024182
semantic_lna_random        k2=1     | 0.931522 +/- 0.028388 | 0.900000 +/- 0.021857 | 0.027497 +/- 0.024182
semantic_lna_random        k2=2     | 0.938561 +/- 0.024267 | 0.907833 +/- 0.026222 | 0.027497 +/- 0.024182
semantic_lna_random        k2=3     | 0.944756 +/- 0.020517 | 0.911500 +/- 0.021113 | 0.027497 +/- 0.024182
semantic_lna_random        k2=4     | 0.949711 +/- 0.018445 | 0.917167 +/- 0.021097 | 0.041514 +/- 0.038823
semantic_lna_random        k2=5     | 0.955720 +/- 0.013401 | 0.920500 +/- 0.023081 | 0.028219 +/- 0.025004
